feature,importance
eigenval_1,0.08683261200670944
eigenval_4,0.08097657929346753
eigenval_2,0.0742256717221518
eigenval_3,0.06433450061481209
eigenval_5,0.06115759827528599
eigenval_7,0.06008895747417856
eigenval_6,0.053140631167380076
eigenval_8,0.046898942073385075
eigenval_12,0.03762734879326909
spin_mult,0.03747481047976754
eigenval_10,0.03406283353526605
eigenval_11,0.033463298353935515
eigenval_9,0.033019215808165865
eigenval_17,0.028048563589269503
eigenval_14,0.024415611340269174
eigenval_15,0.024158939369626643
eigenval_13,0.021404851886259266
eigenval_19,0.020702679255081093
eigenval_18,0.017542565047652788
eigenval_16,0.01465835301158386
charge,0.01421165241311263
eigenval_21,0.012907020786226936
eigenval_22,0.012699617508284822
eigenval_24,0.011065052899072843
eigenval_23,0.009177442496356297
eigenval_20,0.008994453038872351
eigenval_25,0.007938132993413187
eigenval_27,0.006371021337962223
eigenval_26,0.003977190872957373
eigenval_33,0.0037397347360178927
eigenval_30,0.002986699204244
eigenval_39,0.0028342543209468572
eigenval_32,0.002711265107811987
eigenval_29,0.0026637577278550307
eigenval_49,0.0023984612656477826
eigenval_34,0.0023410835059681006
eigenval_41,0.002304948458906924
eigenval_28,0.0021748202380347612
eigenval_38,0.0021290088632165307
eigenval_40,0.0021129593088389164
eigenval_37,0.0017579368218557914
eigenval_86,0.0016399788004686313
eigenval_42,0.0016275338135952277
eigenval_55,0.0016110228067681485
eigenval_88,0.0015870437641064127
eigenval_62,0.0014136457282100429
eigenval_44,0.0012409506065058833
eigenval_43,0.0012000917310795748
eigenval_76,0.0011953427903398108
eigenval_31,0.001154185673602423
eigenval_35,0.0010851482382494531
eigenval_50,0.0010812317926276024
eigenval_64,0.0010012978526208946
eigenval_36,0.0008208366021552464
eigenval_80,0.0008130487710698801
eigenval_48,0.0007736364793687737
eigenval_58,0.0006935530914997162
eigenval_47,0.0006297384795042019
eigenval_53,0.000581002265931352
eigenval_51,0.0005791581780043643
eigenval_54,0.0005612504591757502
eigenval_56,0.0005608703194024206
eigenval_45,0.000543521927184804
eigenval_65,0.0005370012602554239
eigenval_75,0.0005308095522735408
eigenval_52,0.0005142873281849741
eigenval_60,0.0004527186270624544
eigenval_66,0.0004418062009262269
eigenval_57,0.00043365961378293103
eigenval_67,0.0004094694698575938
eigenval_87,0.0003950411745091282
eigenval_82,0.0003672335090615218
eigenval_59,0.00036026125051158545
eigenval_90,0.0003239977715306128
eigenval_79,0.0002695985759133116
eigenval_102,0.00023803053452299327
eigenval_63,0.00021673459065084193
eigenval_126,0.00014520871068669046
eigenval_61,0.00013893734328395327
eigenval_74,7.391823605743616e-05
eigenval_46,2.6119076338104758e-05
eigenval_123,0.0
eigenval_127,0.0
eigenval_125,0.0
eigenval_124,0.0
eigenval_122,0.0
eigenval_129,0.0
eigenval_121,0.0
eigenval_120,0.0
eigenval_119,0.0
eigenval_118,0.0
eigenval_117,0.0
eigenval_116,0.0
eigenval_115,0.0
eigenval_128,0.0
eigenval_131,0.0
eigenval_130,0.0
eigenval_113,0.0
eigenval_132,0.0
eigenval_133,0.0
eigenval_134,0.0
eigenval_135,0.0
eigenval_136,0.0
eigenval_137,0.0
eigenval_138,0.0
eigenval_139,0.0
eigenval_140,0.0
eigenval_141,0.0
eigenval_142,0.0
eigenval_143,0.0
eigenval_144,0.0
eigenval_114,0.0
eigenval_73,0.0
eigenval_112,0.0
eigenval_94,0.0
eigenval_78,0.0
eigenval_72,0.0
eigenval_71,0.0
eigenval_81,0.0
eigenval_70,0.0
eigenval_83,0.0
eigenval_84,0.0
eigenval_85,0.0
eigenval_69,0.0
eigenval_68,0.0
eigenval_89,0.0
eigenval_91,0.0
eigenval_92,0.0
eigenval_93,0.0
eigenval_95,0.0
eigenval_77,0.0
eigenval_96,0.0
eigenval_97,0.0
eigenval_98,0.0
eigenval_99,0.0
eigenval_100,0.0
eigenval_101,0.0
eigenval_103,0.0
eigenval_104,0.0
eigenval_105,0.0
eigenval_106,0.0
eigenval_107,0.0
eigenval_108,0.0
eigenval_109,0.0
eigenval_110,0.0
eigenval_111,0.0
